City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,bardai,11.65,7.2333,25.17,69,100,7.35,NG,2024-06-10 02:48:28
420,as sulayyil,20.4607,45.5779,31.14,13,0,4.39,SA,2024-06-10 02:48:28
421,nur-sultan,51.1801,71.446,21.97,68,40,5.0,KZ,2024-06-10 02:48:29
422,kolyvan',55.3053,82.7391,18.79,59,65,0.42,RU,2024-06-10 02:48:29
423,ola,59.5833,151.2833,8.97,82,95,2.58,RU,2024-06-10 02:45:32
424,luis correia,-2.8792,-41.6669,25.19,88,100,4.22,BR,2024-06-10 02:48:29
425,ust'-kulom,61.6864,53.6902,13.0,87,20,3.74,RU,2024-06-10 02:48:29
426,pacific grove,36.6177,-121.9166,18.55,86,100,5.66,US,2024-06-10 02:46:04
427,bubaque,11.2833,-15.8333,26.43,81,32,5.55,GW,2024-06-10 02:48:30
428,arica,-18.475,-70.3042,18.13,68,100,2.06,CL,2024-06-10 02:48:30
429,umm kaddadah,13.6017,26.6876,28.52,45,97,3.02,SD,2024-06-10 02:48:30
430,boundiali,9.5217,-6.4869,23.04,81,100,1.3,CI,2024-06-10 02:48:30
431,mutuali,-14.8706,37.0044,15.25,87,97,1.49,MZ,2024-06-10 02:48:30
432,afaahiti,-17.75,-149.2833,24.93,91,100,7.61,PF,2024-06-10 02:48:31
433,esmeraldas,-19.7625,-44.3139,17.48,87,62,1.81,BR,2024-06-10 02:48:31
434,bouake,7.6895,-5.0218,24.06,100,84,3.09,CI,2024-06-10 02:48:31
435,kundiawa,-6.0167,144.9667,22.78,82,75,1.22,PG,2024-06-10 02:48:32
436,vera,-29.4593,-60.2126,19.16,74,96,3.89,AR,2024-06-10 02:48:32
437,holualoa,19.6228,-155.9522,26.91,80,75,5.14,US,2024-06-10 02:48:32
438,bereeda,11.8704,51.0579,31.19,57,48,2.63,SO,2024-06-10 02:48:32
439,porbandar,21.6422,69.6093,29.99,71,11,5.73,IN,2024-06-10 02:48:33
440,timbuktu,16.7735,-3.0074,34.83,25,5,5.56,ML,2024-06-10 02:48:33
441,karratha,-20.7377,116.8463,24.77,40,0,5.69,AU,2024-06-10 02:48:33
442,oroqen zizhiqi,50.5667,123.7167,22.69,35,100,2.54,CN,2024-06-10 02:48:33
443,lodwar,3.1191,35.5973,27.42,50,88,5.99,KE,2024-06-10 02:48:33
444,yangiyul,41.112,69.0471,29.48,26,24,2.87,UZ,2024-06-10 02:48:34
445,formosa do rio preto,-11.0483,-45.1931,20.22,53,4,1.73,BR,2024-06-10 02:48:34
446,lihue,21.9789,-159.3672,29.58,63,20,6.17,US,2024-06-10 02:48:34
